port_name,lat,lon,size,geometry
Halifax Ferry Terminal,0,0,0,"POLYGON (( -63.57192635536193 44.64991584848964,-63.57167154550553 44.64954757220635,-63.57085078954697 44.64985287913544,-63.57114851474762 44.65022306163132,-63.57192635536193 44.64991584848964))"
Dartmouth Ferry Terminal,0,0,0,"POLYGON ((-63.56979668140411 44.66413944585181,-63.570494055747986 44.66390289141119,-63.57020974159241 44.66349082653202,-63.56944799423217 44.66373882889356,-63.56979668140411 44.66413944585181))"
Woodside Ferry Terminal,0,0,0,"POLYGON ((-63.54970693588257 44.64908579242247,-63.550377488136284 44.6486774386415,-63.5498571395874 44.64828053127682,-63.54918122291565 44.64871560266804,-63.54970693588257 44.64908579242247))"
Centre for Ocean Ventures& Enterpreneurship,0,0,0,"POLYGON ((-63.55601549148559 44.66059484350969,-63.5569167137146 44.663067312354116,-63.55783939361572 44.66318940684893,-63.55838656425476 44.66251788394538,-63.55801105499267 44.6613884869752,-63.55886936187744 44.661125212222096,-63.55829536914825 44.66002631338705,-63.55601549148559 44.66059484350969))"
